index,open,high,low,close,number_ticks
2022/7/14 4:00,19975.11,20035.49,19959.2,20018.92,4360
2022/7/14 4:05,20018.92,20019.49,19937.86,19970.47,4170
2022/7/14 4:10,19970.32,19998.44,19958.79,19996.96,3827
2022/7/14 4:15,19996.82,20007.2,19968.19,19979.63,4108
2022/7/14 4:20,19979.64,19988,19953.75,19957.42,3786
2022/7/14 4:25,19957.42,19977.2,19951.45,19952.59,4086
2022/7/14 4:30,19951.98,19969.34,19949.43,19949.76,4056
2022/7/14 4:35,19949.76,19953.72,19865.74,19872.83,4580
2022/7/14 4:40,19872.26,19894.55,19828.34,19832.97,4553
2022/7/14 4:45,19831.58,19857.94,19824.01,19839.57,4151
2022/7/14 4:50,19838.55,19843.63,19745.15,19745.24,4501
2022/7/14 4:55,19745.24,19757.92,19725.05,19747.87,4559
2022/7/14 5:00,19748.06,19774.21,19734.59,19764.22,4304
2022/7/14 5:05,19763.95,19767.92,19711,19734.07,4227
2022/7/14 5:10,19734.07,19755.22,19731.5,19750.95,4072
2022/7/14 5:15,19750.59,19795.95,19748.98,19784.46,3763
2022/7/14 5:20,19784.46,19785.13,19745.02,19751.58,3518
2022/7/14 5:25,19751.51,19766.63,19736.68,19736.68,3510
2022/7/14 5:30,19736.77,19748.15,19728.71,19729.18,3782
2022/7/14 5:35,19729.18,19736.88,19681.92,19736.03,3589
2022/7/14 5:40,19736.03,19777.09,19686.65,19776.27,4165
2022/7/14 5:45,19776.02,19789,19750.77,19770.2,4449
2022/7/14 5:50,19770.11,19806,19762.13,19787.05,4399
2022/7/14 5:55,19787.04,19817.54,19768.56,19809.47,4374
2022/7/14 6:00,19809.47,19810.39,19771.41,19795.53,4048
2022/7/14 6:05,19795.46,19826.11,19793.7,19812.35,4147
2022/7/14 6:10,19812.32,19816.93,19774.91,19786.14,3730
2022/7/14 6:15,19785.79,19808.61,19744.27,19803.37,4195
2022/7/14 6:20,19803.02,19804.22,19749.82,19763.55,4053
2022/7/14 6:25,19763.55,19784.76,19757.59,19778.5,3650
2022/7/14 6:30,19778.49,19779.58,19757.98,19777.83,3655
2022/7/14 6:35,19777.83,19816.91,19772.06,19810.23,4032
2022/7/14 6:40,19810.16,19831.36,19793.68,19809.07,3934
2022/7/14 6:45,19809.23,19831.26,19747.89,19758.41,4324
2022/7/14 6:50,19758.42,19774.5,19721.89,19757.51,4279
2022/7/14 6:55,19757.51,19782.13,19744.28,19768.98,4226
2022/7/14 7:00,19768.98,19789.99,19750.14,19750.14,4050
2022/7/14 7:05,19750.16,19758.99,19730.85,19737.51,3829
2022/7/14 7:10,19737.54,19739.09,19698.17,19712.25,4108
2022/7/14 7:15,19711.83,19755.26,19683.45,19735.33,4636
2022/7/14 7:20,19735.35,19773.61,19673.8,19681.07,4567
2022/7/14 7:25,19681.51,19700.94,19676.34,19685.97,3968
2022/7/14 7:30,19686.88,19746.44,19637.95,19669.43,4742
2022/7/14 7:35,19669.79,19718.92,19654.71,19701.45,4788
2022/7/14 7:40,19701.47,19744.07,19697.85,19720.75,4293
2022/7/14 7:45,19720.75,19739.92,19701.73,19729.03,4425
2022/7/14 7:50,19729.13,19759.66,19721.89,19740.18,4319
2022/7/14 7:55,19740.13,19748.66,19723.63,19723.63,4127
2022/7/14 8:00,19723.87,19735.21,19694.95,19696.24,4373
2022/7/14 8:05,19696.24,19744.16,19676.68,19743.13,4459
2022/7/14 8:10,19742.88,19773.51,19725.99,19762.89,4259
2022/7/14 8:15,19762.83,19793.67,19723.64,19739.5,4620
2022/7/14 8:20,19739.51,19775.85,19735.84,19738.19,4338
2022/7/14 8:25,19738.34,19738.91,19693.35,19710.07,4450
2022/7/14 8:30,19710.08,19793.15,19628.55,19791.77,5605
2022/7/14 8:35,19791.77,19850.31,19764.94,19814.59,4904
2022/7/14 8:40,19814.55,19817.32,19763.16,19778.14,4578
2022/7/14 8:45,19778.07,19806.65,19760.37,19771.63,4122
2022/7/14 8:50,19771.63,19773.21,19756.82,19767.31,3955
2022/7/14 8:55,19767.31,19788.6,19742.69,19768.65,4066
2022/7/14 9:00,19768.51,19801.92,19763.68,19798.93,4127
2022/7/14 9:05,19798.88,19802.25,19719.66,19724.8,4008
2022/7/14 9:10,19724.8,19733.75,19700.01,19724.97,4301
2022/7/14 9:15,19724.97,19759.8,19710.42,19757.64,4536
2022/7/14 9:20,19757.64,19757.65,19720.67,19749.28,4203
2022/7/14 9:25,19749.89,19752.33,19701.39,19704.53,4252
2022/7/14 9:30,19703.5,19783.82,19638.23,19663.41,5851
2022/7/14 9:35,19660.97,19713,19645.01,19648.06,5114
2022/7/14 9:40,19647.82,19687.05,19646.2,19673.56,4987
2022/7/14 9:45,19673.56,19746.77,19673.07,19729.13,5227
2022/7/14 9:50,19729.1,19798.78,19720.44,19775.61,5448
2022/7/14 9:55,19776,19794.23,19748.13,19748.13,4838
2022/7/14 10:00,19747.68,19755.38,19684.13,19685.56,4715
2022/7/14 10:05,19685.88,19701.54,19658.82,19686.88,4654
2022/7/14 10:10,19686.78,19733.51,19677.37,19732.83,4900
2022/7/14 10:15,19732.84,19745.16,19684.6,19697.16,4459
2022/7/14 10:20,19697.16,19728.38,19695.69,19721.6,4445
2022/7/14 10:25,19721.71,19739.03,19711.79,19728.78,4054
2022/7/14 10:30,19728.78,19771.63,19682.07,19738.35,4610
2022/7/14 10:35,19738.35,19750.68,19710.88,19741.51,4178
2022/7/14 10:40,19741.51,19791.88,19737.5,19766.57,4169
2022/7/14 10:45,19766.12,19833.34,19762.9,19806.9,4529
2022/7/14 10:50,19806.97,19931.38,19806.73,19924.65,5134
2022/7/14 10:55,19923.68,19924.09,19865.19,19877.58,4810
2022/7/14 11:00,19877.91,19981.38,19877.41,19946.71,5517
2022/7/14 11:05,19946.71,20041.69,19942.67,20036.11,5199
2022/7/14 11:10,20035.87,20083.07,20019.53,20022.18,5260
2022/7/14 11:15,20023.68,20167.6,20013.9,20139.2,5632
2022/7/14 11:20,20139.21,20174.18,20118.18,20166.63,5204
2022/7/14 11:25,20167,20173.38,20111.84,20126.59,4973
2022/7/14 11:30,20127.19,20128.98,20066.88,20085.26,4997
2022/7/14 11:35,20085.01,20247.75,20051.59,20224.49,5223
2022/7/14 11:40,20224.32,20364.1,20224.26,20302.37,5832
2022/7/14 11:45,20302.66,20445.05,20278.55,20422.32,5985
2022/7/14 11:50,20422.38,20427.77,20340.88,20353.72,5722
2022/7/14 11:55,20354.06,20383.54,20335.14,20377.33,5173
2022/7/14 12:00,20377.33,20461.04,20377.14,20458.97,5364
2022/7/14 12:05,20459.19,20459.19,20318.55,20334.58,5180
2022/7/14 12:10,20333.87,20334.49,20260.13,20310.89,4797
2022/7/14 12:15,20310.77,20347.62,20301.6,20303.01,4917
2022/7/14 12:20,20303.01,20346.88,20299.68,20331.62,4636
2022/7/14 12:25,20331.44,20337.88,20236.54,20243.23,5078
2022/7/14 12:30,20243.21,20279.96,20221.03,20229.82,4705
2022/7/14 12:35,20230.07,20331.5,20229.75,20295.08,4351
2022/7/14 12:40,20295.13,20308.74,20262.24,20273.45,4202
2022/7/14 12:45,20273.26,20301.59,20220.4,20221.99,4813
2022/7/14 12:50,20221.87,20242.8,20147.52,20196.09,5147
2022/7/14 12:55,20195.94,20222.41,20168.62,20209.09,4682
2022/7/14 13:00,20209.06,20216.32,20175.96,20203.58,4724
2022/7/14 13:05,20203.66,20277.89,20177.75,20276.35,4670
2022/7/14 13:10,20276.35,20276.8,20243.39,20256.32,4295
2022/7/14 13:15,20256.32,20389.59,20255.18,20388.78,5222
2022/7/14 13:20,20388.05,20555.32,20387.76,20470.84,5762
2022/7/14 13:25,20471.81,20595.04,20467.79,20586.34,5706
2022/7/14 13:30,20586.97,20640.13,20492.16,20496.99,5506
2022/7/14 13:35,20496.42,20548.89,20491.76,20511.77,4477
2022/7/14 13:40,20511.97,20542.04,20494.82,20510.64,4698
2022/7/14 13:45,20509.35,20546.17,20490.67,20531.45,4276
2022/7/14 13:50,20531.19,20665.13,20495.18,20665.05,4979
2022/7/14 13:55,20665.13,20756.97,20632.15,20732.21,5755
2022/7/14 14:00,20732.38,20765.16,20683.52,20684.5,5343
2022/7/14 14:05,20685.54,20712.43,20631.59,20654.89,5166
2022/7/14 14:10,20654.88,20699.43,20633.65,20682.08,5080
2022/7/14 14:15,20682.08,20715.21,20640.29,20701.47,4738
2022/7/14 14:20,20701.97,20718.63,20659.29,20670.23,4460
2022/7/14 14:25,20670.19,20700.25,20618.73,20687.77,4605
2022/7/14 14:30,20687.65,20704.68,20635.86,20646.66,4507
2022/7/14 14:35,20646.65,20703.63,20646.45,20683.74,4211
2022/7/14 14:40,20684.32,20697.96,20660.13,20665.41,4236
2022/7/14 14:45,20665.41,20707.38,20664.52,20706.96,4210
2022/7/14 14:50,20707.72,20711.37,20676.68,20676.95,4313
2022/7/14 14:55,20676.82,20708.4,20673.59,20689,4186
2022/7/14 15:00,20688.8,20744.29,20688.8,20734.45,4533
2022/7/14 15:05,20734.45,20758.26,20639.49,20639.49,4662
2022/7/14 15:10,20640.67,20702.3,20638.52,20690.38,4101
2022/7/14 15:15,20690.38,20697.65,20651.04,20653.73,4106
2022/7/14 15:20,20653.69,20685.13,20646.4,20685.09,3923
2022/7/14 15:25,20684.89,20770.66,20675.86,20769.4,4454
2022/7/14 15:30,20769.41,20878.51,20718.8,20724.01,5275
2022/7/14 15:35,20724.01,20761.5,20684.51,20687.09,4660
2022/7/14 15:40,20687.69,20709.49,20654.05,20658.61,4276
2022/7/14 15:45,20659.22,20674.16,20649.44,20670.25,4256
2022/7/14 15:50,20670.25,20678.13,20654.19,20659.29,4101
2022/7/14 15:55,20659.29,20670.49,20582.14,20596.71,4245
2022/7/14 16:00,20596.63,20641.65,20596.29,20636.61,4207
2022/7/14 16:05,20636.61,20636.96,20530.27,20546.67,4376
2022/7/14 16:10,20546.31,20556.15,20509.3,20551.62,4313
2022/7/14 16:15,20551.62,20561.54,20538.39,20541.29,3821
2022/7/14 16:20,20541.29,20581,20539.44,20578.08,3612
2022/7/14 16:25,20578.08,20658.47,20569.08,20634.56,4024
2022/7/14 16:30,20633.97,20637.21,20579.33,20587,3833
2022/7/14 16:35,20586.68,20604.09,20578.07,20590.69,3705
2022/7/14 16:40,20590.69,20665.66,20587.67,20653.6,3694
2022/7/14 16:45,20653.6,20655.64,20578.33,20620.91,4073
2022/7/14 16:50,20620.91,20642.02,20618.37,20631.71,3785
2022/7/14 16:55,20631.48,20669.09,20628.36,20668.32,2868
2022/7/14 17:00,20667.93,20699.88,20643.65,20680.96,3646
2022/7/14 17:05,20680.94,20681.16,20645.66,20654.5,3565
2022/7/14 17:10,20654.23,20655.62,20626.87,20648.74,3233
2022/7/14 17:15,20648.36,20649.2,20602.18,20602.43,3024
2022/7/14 17:20,20602.42,20602.42,20566.18,20576.63,3548
2022/7/14 17:25,20576.63,20582.63,20554.9,20554.94,3155
